pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description\
275685at7742	TAR DNA binding protein	7742	7868_0	Callorhinchus milii	7868_0:001ccd	tardbp	TAR DNA-binding protein 43\
275685at7742	TAR DNA binding protein	7742	7897_0	Latimeria chalumnae	7897_0:001538	TARDBP	TAR DNA-binding protein 43\
275685at7742	TAR DNA binding protein	7742	7918_0	Lepisosteus oculatus	7918_0:004225	W5MHW9_LEPOC	TAR DNA binding protein, like\
275685at7742	TAR DNA binding protein	7742	7950_0	Clupea harengus	7950_0:002d92	tardbp	TAR DNA-binding protein 43\
275685at7742	TAR DNA binding protein	7742	7950_0	Clupea harengus	7950_0:003725	LOC105901871	TAR DNA-binding protein 43-like isoform X1\
275685at7742	TAR DNA binding protein	7742	7955_0	Danio rerio	7955_0:001bc6	tardbp	TAR DNA-binding protein\
275685at7742	TAR DNA binding protein	7742	7955_0	Danio rerio	7955_0:005cfc	tardbpl	TAR DNA-binding protein,-like\
275685at7742	TAR DNA binding protein	7742	7955_0	Danio rerio	7955_0:006fa7	tardbpl	TAR DNA-binding protein,-like\
275685at7742	TAR DNA binding protein	7742	7962_0	Cyprinus carpio	7962_0:006cd7	LOC109056374	TAR DNA-binding protein 43-like\
275685at7742	TAR DNA binding protein	7742	7962_0	Cyprinus carpio	7962_0:0078cb	tardbp	TAR DNA-binding protein 43 isoform X1\
275685at7742	TAR DNA binding protein	7742	7994_0	Astyanax mexicanus	7994_0:002123	W5LC76_ASTMX	TAR DNA binding protein\
275685at7742	TAR DNA binding protein	7742	7994_0	Astyanax mexicanus	7994_0:002829	tardbp	TAR DNA-binding protein 43 isoform X1\
275685at7742	TAR DNA binding protein	7742	7998_0	Ictalurus punctatus	7998_0:00265e	LOC108271795	TAR DNA-binding protein 43-like isoform X1\
275685at7742	TAR DNA binding protein	7742	7998_0	Ictalurus punctatus	7998_0:0033ad	tardbp	TAR DNA-binding protein 43 isoform X1\
275685at7742	TAR DNA binding protein	7742	8010_0	Esox lucius	8010_0:0029a7	tardbp	TAR DNA-binding protein 43 isoform X1\
275685at7742	TAR DNA binding protein	7742	8010_0	Esox lucius	8010_0:005a03	LOC105025427	TAR DNA-binding protein 43-like isoform X1\
275685at7742	TAR DNA binding protein	7742	8019_0	Oncorhynchus kisutch	8019_0:000404	LOC109898680	TAR DNA-binding protein 43-like\
275685at7742	TAR DNA binding protein	7742	8019_0	Oncorhynchus kisutch	8019_0:0013d9	LOC109890877	TAR DNA-binding protein 43-like\
275685at7742	TAR DNA binding protein	7742	8019_0	Oncorhynchus kisutch	8019_0:00437e	tardbp	TAR DNA-binding protein 43\
275685at7742	TAR DNA binding protein	7742	8019_0	Oncorhynchus kisutch	8019_0:00832c	LOC109883937	TAR DNA-binding protein 43-like\
275685at7742	TAR DNA binding protein	7742	8022_0	Oncorhynchus mykiss	8022_0:002d75	A0A060X1B2_ONCMY	A0A060X1B2_ONCMY\
275685at7742	TAR DNA binding protein	7742	8022_0	Oncorhynchus mykiss	8022_0:003527	tardbp	TAR DNA-binding protein 43\
275685at7742	TAR DNA binding protein	7742	8022_0	Oncorhynchus mykiss	8022_0:006229	LOC110491896	TAR DNA-binding protein 43-like\
275685at7742	TAR DNA binding protein	7742	8022_0	Oncorhynchus mykiss	8022_0:006af7	LOC110494662	TAR DNA-binding protein 43-like\
275685at7742	TAR DNA binding protein	7742	8030_0	Salmo salar	8030_0:0052a7	TADBP	TAR DNA-binding protein 43-like\
275685at7742	TAR DNA binding protein	7742	8030_0	Salmo salar	8030_0:005804	TADBP	TAR DNA-binding protein 43-like\
275685at7742	TAR DNA binding protein	7742	8030_0	Salmo salar	8030_0:006620	tardbp	TAR DNA-binding protein 43 isoform X1\
275685at7742	TAR DNA binding protein	7742	8030_0	Salmo salar	8030_0:008cdf	TADBP	TAR DNA-binding protein 43-like\
275685at7742	TAR DNA binding protein	7742	8036_0	Salvelinus alpinus	8036_0:00029e	LOC111970140	TAR DNA-binding protein 43\
275685at7742	TAR DNA binding protein	7742	8036_0	Salvelinus alpinus	8036_0:001d1e	tardbp	TAR DNA-binding protein 43 isoform X1\
275685at7742	TAR DNA binding protein	7742	8036_0	Salvelinus alpinus	8036_0:002780	LOC111969781	TAR DNA-binding protein 43\
275685at7742	TAR DNA binding protein	7742	8036_0	Salvelinus alpinus	8036_0:0039d8	LOC111976373	TAR DNA-binding protein 43\
275685at7742	TAR DNA binding protein	7742	8078_0	Fundulus heteroclitus	8078_0:004584	A0A146ZW90_FUNHE	TAR DNA-binding protein 43\
275685at7742	TAR DNA binding protein	7742	8078_0	Fundulus heteroclitus	8078_0:0045b9	A0A146NPB5_FUNHE	TAR DNA-binding protein 43\
275685at7742	TAR DNA binding protein	7742	8081_0	Poecilia reticulata	8081_0:0013d5	LOC103464518	TAR DNA-binding protein 43-like isoform X1\
275685at7742	TAR DNA binding protein	7742	8081_0	Poecilia reticulata	8081_0:001cff	tardbp	TAR DNA-binding protein 43 isoform X1\
275685at7742	TAR DNA binding protein	7742	8083_0	Xiphophorus maculatus	8083_0:000010	tardbp	TAR DNA-binding protein 43 isoform X1\
275685at7742	TAR DNA binding protein	7742	8083_0	Xiphophorus maculatus	8083_0:004d27	TARDBP (1 of many)	TAR DNA binding protein\
275685at7742	TAR DNA binding protein	7742	8090_0	Oryzias latipes	8090_0:0010e6	LOC101167948	Centromere protein S\
275685at7742	TAR DNA binding protein	7742	8090_0	Oryzias latipes	8090_0:0019cb	tardbp	TAR DNA-binding protein 43 isoform X1\
275685at7742	TAR DNA binding protein	7742	8128_0	Oreochromis niloticus	8128_0:00165b	LOC100704166	TAR DNA-binding protein 43 isoform X1\
275685at7742	TAR DNA binding protein	7742	8128_0	Oreochromis niloticus	8128_0:005de7	tardbp	TAR DNA-binding protein 43\
275685at7742	TAR DNA binding protein	7742	8153_0	Haplochromis burtoni	8153_0:000532	tardbp	TAR DNA-binding protein 43 isoform X1\
275685at7742	TAR DNA binding protein	7742	8153_0	Haplochromis burtoni	8153_0:001fe5	LOC102309107	TAR DNA-binding protein 43-like\
275685at7742	TAR DNA binding protein	7742	8187_0	Lates calcarifer	8187_0:003e95	LOC108899245	TAR DNA-binding protein 43-like isoform X1\
