pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
394456at7742	RNA-binding protein FUS isoform X1	7742	7897_0	Latimeria chalumnae	7897_0:003571	FUS	FUS RNA binding protein
394456at7742	RNA-binding protein FUS isoform X1	7742	7955_0	Danio rerio	7955_0:000c7b	fus	FUS RNA-binding protein
394456at7742	RNA-binding protein FUS isoform X1	7742	7962_0	Cyprinus carpio	7962_0:009d58	LOC109075460	RNA-binding protein FUS-like
394456at7742	RNA-binding protein FUS isoform X1	7742	7994_0	Astyanax mexicanus	7994_0:0002d2	W5KQF2_ASTMX	FUS RNA binding protein
394456at7742	RNA-binding protein FUS isoform X1	7742	7998_0	Ictalurus punctatus	7998_0:0004ab	fus	RNA-binding protein FUS
394456at7742	RNA-binding protein FUS isoform X1	7742	8355_0	Xenopus laevis	8355_0:007219	MGC84691	MGC84691 protein
394456at7742	RNA-binding protein FUS isoform X1	7742	8355_0	Xenopus laevis	8355_0:0077a0	fus	Fus protein
394456at7742	RNA-binding protein FUS isoform X1	7742	8364_0	Xenopus tropicalis	8364_0:003e06	fus	FUS RNA-binding protein
394456at7742	RNA-binding protein FUS isoform X1	7742	8469_0	Chelonia mydas	8469_0:004071	LOC102933986	RNA-binding protein FUS-like
394456at7742	RNA-binding protein FUS isoform X1	7742	8478_0	Chrysemys picta bellii	8478_0:003bba	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	8496_0	Alligator mississippiensis	8496_0:0031f8	FUS	RNA-binding protein FUS
394456at7742	RNA-binding protein FUS isoform X1	7742	8839_0	Anas platyrhynchos	8839_0:0035c6	LOC101802896	RNA-binding protein FUS
394456at7742	RNA-binding protein FUS isoform X1	7742	381198_0	Anser cygnoides	381198_0:0038c9	LOC106029462	RNA-binding protein FUS-like
394456at7742	RNA-binding protein FUS isoform X1	7742	8954_0	Falco peregrinus	8954_0:00125e	FUS	RNA-binding protein FUS
394456at7742	RNA-binding protein FUS isoform X1	7742	8996_0	Numida meleagris	8996_0:003de0	FUS	RNA-binding protein FUS
394456at7742	RNA-binding protein FUS isoform X1	7742	9031_0	Gallus gallus	9031_0:004537	Q6J4Y8_CHICK	FUS/TLS
394456at7742	RNA-binding protein FUS isoform X1	7742	9172_0	Sturnus vulgaris	9172_0:003899	LOC106863771	RNA-binding protein FUS-like
394456at7742	RNA-binding protein FUS isoform X1	7742	9258_0	Ornithorhynchus anatinus	9258_0:003e00	FUS	RNA-binding protein FUS
394456at7742	RNA-binding protein FUS isoform X1	7742	9305_0	Sarcophilus harrisii	9305_0:001967	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9361_0	Dasypus novemcinctus	9361_0:004937	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9365_0	Erinaceus europaeus	9365_0:0030c8	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9371_0	Echinops telfairi	9371_0:002017	FUS	RNA-binding protein FUS
394456at7742	RNA-binding protein FUS isoform X1	7742	9402_0	Pteropus alecto	9402_0:00206c	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9407_0	Rousettus aegyptiacus	9407_0:004adc	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9483_0	Callithrix jacchus	9483_0:00340e	FUS	RNA-binding protein FUS
394456at7742	RNA-binding protein FUS isoform X1	7742	9531_0	Cercocebus atys	9531_0:0003e5	FUS	FUS RNA binding protein
394456at7742	RNA-binding protein FUS isoform X1	7742	9541_0	Macaca fascicularis	9541_0:00496e	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9544_0	Macaca mulatta	9544_0:004af9	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9545_0	Macaca nemestrina	9545_0:004f5d	FUS	FUS RNA binding protein
394456at7742	RNA-binding protein FUS isoform X1	7742	9555_0	Papio anubis	9555_0:004b8f	FUS	FUS RNA binding protein
394456at7742	RNA-binding protein FUS isoform X1	7742	9568_0	Mandrillus leucophaeus	9568_0:001da4	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9595_0	Gorilla gorilla gorilla	9595_0:003d86	FUS	FUS RNA binding protein
394456at7742	RNA-binding protein FUS isoform X1	7742	9597_0	Pan paniscus	9597_0:003a03	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9598_0	Pan troglodytes	9598_0:003ee4	FUS	FUS isoform 1
394456at7742	RNA-binding protein FUS isoform X1	7742	9601_0	Pongo abelii	9601_0:003bcf	A0A2J8TKS3_PONAB	FUS isoform 1
394456at7742	RNA-binding protein FUS isoform X1	7742	9606_0	Homo sapiens	9606_0:003ec1	FUS	RNA-binding protein FUS
394456at7742	RNA-binding protein FUS isoform X1	7742	9615_0	Canis lupus familiaris	9615_0:0010fb	FUS	FUS RNA binding protein
394456at7742	RNA-binding protein FUS isoform X1	7742	9646_0	Ailuropoda melanoleuca	9646_0:003051	FUS	LOW QUALITY PROTEIN: RNA-binding protein FUS
394456at7742	RNA-binding protein FUS isoform X1	7742	9668_0	Mustela putorius	9668_0:003bdb	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9685_0	Felis catus	9685_0:0044ec	FUS	FUS RNA binding protein
394456at7742	RNA-binding protein FUS isoform X1	7742	9691_0	Panthera pardus	9691_0:00494c	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	74533_0	Panthera tigris	74533_0:00354a	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	62698_0	Odobenus rosmarus divergens	62698_0:001042	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9713_0	Leptonychotes weddellii	9713_0:000884	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9733_0	Orcinus orca	9733_0:0012a9	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9739_0	Tursiops truncatus	9739_0:003f55	FUS	RNA-binding protein FUS
394456at7742	RNA-binding protein FUS isoform X1	7742	9749_0	Delphinapterus leucas	9749_0:002252	FUS	RNA-binding protein FUS isoform X1
394456at7742	RNA-binding protein FUS isoform X1	7742	9755_0	Physeter catodon	9755_0:00181a	FUS	RNA-binding protein FUS isoform X1
