pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
189740at40674	RNA-binding protein FUS isoform X1	40674	9258_0	Ornithorhynchus anatinus	9258_0:003e00	FUS	RNA-binding protein FUS
189740at40674	RNA-binding protein FUS isoform X1	40674	9305_0	Sarcophilus harrisii	9305_0:001967	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9361_0	Dasypus novemcinctus	9361_0:004937	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9365_0	Erinaceus europaeus	9365_0:0030c8	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9371_0	Echinops telfairi	9371_0:002017	FUS	RNA-binding protein FUS
189740at40674	RNA-binding protein FUS isoform X1	40674	9402_0	Pteropus alecto	9402_0:00206c	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9407_0	Rousettus aegyptiacus	9407_0:004adc	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9483_0	Callithrix jacchus	9483_0:00340e	FUS	RNA-binding protein FUS
189740at40674	RNA-binding protein FUS isoform X1	40674	9531_0	Cercocebus atys	9531_0:0003e5	FUS	FUS RNA binding protein
189740at40674	RNA-binding protein FUS isoform X1	40674	9541_0	Macaca fascicularis	9541_0:00496e	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9544_0	Macaca mulatta	9544_0:004af9	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9545_0	Macaca nemestrina	9545_0:004f5d	FUS	FUS RNA binding protein
189740at40674	RNA-binding protein FUS isoform X1	40674	9555_0	Papio anubis	9555_0:004b8f	FUS	FUS RNA binding protein
189740at40674	RNA-binding protein FUS isoform X1	40674	9568_0	Mandrillus leucophaeus	9568_0:001da4	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9595_0	Gorilla gorilla gorilla	9595_0:003d86	FUS	FUS RNA binding protein
189740at40674	RNA-binding protein FUS isoform X1	40674	9597_0	Pan paniscus	9597_0:003a03	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9598_0	Pan troglodytes	9598_0:003ee4	FUS	FUS isoform 1
189740at40674	RNA-binding protein FUS isoform X1	40674	9601_0	Pongo abelii	9601_0:003bcf	A0A2J8TKS3_PONAB	FUS isoform 1
189740at40674	RNA-binding protein FUS isoform X1	40674	9606_0	Homo sapiens	9606_0:003ec1	FUS	RNA-binding protein FUS
189740at40674	RNA-binding protein FUS isoform X1	40674	9615_0	Canis lupus familiaris	9615_0:0010fb	FUS	FUS RNA binding protein
189740at40674	RNA-binding protein FUS isoform X1	40674	9646_0	Ailuropoda melanoleuca	9646_0:003051	FUS	LOW QUALITY PROTEIN: RNA-binding protein FUS
189740at40674	RNA-binding protein FUS isoform X1	40674	9668_0	Mustela putorius	9668_0:003bdb	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9685_0	Felis catus	9685_0:0044ec	FUS	FUS RNA binding protein
189740at40674	RNA-binding protein FUS isoform X1	40674	9691_0	Panthera pardus	9691_0:00494c	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	74533_0	Panthera tigris	74533_0:00354a	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	62698_0	Odobenus rosmarus divergens	62698_0:001042	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9713_0	Leptonychotes weddellii	9713_0:000884	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9733_0	Orcinus orca	9733_0:0012a9	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9739_0	Tursiops truncatus	9739_0:003f55	FUS	RNA-binding protein FUS
189740at40674	RNA-binding protein FUS isoform X1	40674	9749_0	Delphinapterus leucas	9749_0:002252	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9755_0	Physeter catodon	9755_0:00181a	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	310752_0	Balaenoptera acutorostrata	310752_0:003045	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	127582_0	Trichechus manatus	127582_0:003ae8	LOC101357666	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9785_0	Loxodonta africana	9785_0:003bf1	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9793_0	Equus asinus	9793_0:001264	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9796_0	Equus caballus	9796_0:002fa6	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9798_0	Equus przewalskii	9798_0:000a62	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9798_0	Equus przewalskii	9798_0:000fec	LOC103549245	LOW QUALITY PROTEIN: RNA-binding protein FUS-like
189740at40674	RNA-binding protein FUS isoform X1	40674	73337_0	Ceratotherium simum	73337_0:003f32	LOC101406235	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	1230840_0	Orycteropus afer	1230840_0:003223	FUS	LOW QUALITY PROTEIN: RNA-binding protein FUS
189740at40674	RNA-binding protein FUS isoform X1	40674	9823_0	Sus scrofa	9823_0:00102f	FUS	RNA-binding protein FUS
189740at40674	RNA-binding protein FUS isoform X1	40674	9837_0	Camelus bactrianus	9837_0:004731	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9838_0	Camelus dromedarius	9838_0:001851	LOC105089742	LOW QUALITY PROTEIN: RNA-binding protein FUS-like
189740at40674	RNA-binding protein FUS isoform X1	40674	9838_0	Camelus dromedarius	9838_0:004afa	LOC105106644	RNA-binding protein FUS
189740at40674	RNA-binding protein FUS isoform X1	40674	9874_0	Odocoileus virginianus	9874_0:00128f	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	43346_0	Bison bison	43346_0:00146f	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9913_0	Bos taurus	9913_0:004684	FUS	RNA-binding protein FUS
189740at40674	RNA-binding protein FUS isoform X1	40674	9915_0	Bos indicus	9915_0:0044e7	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9925_0	Capra hircus	9925_0:004462	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9938_0	Ovis aries musimon	9938_0:004460	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9940_0	Ovis aries	9940_0:0046b7	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9940_0	Ovis aries	9940_0:004eb2	LOC101114499	LOW QUALITY PROTEIN: RNA-binding protein FUS-like
189740at40674	RNA-binding protein FUS isoform X1	40674	9974_0	Manis javanica	9974_0:0025f4	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9978_0	Ochotona princeps	9978_0:001fd8	FUS	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	9986_0	Oryctolagus cuniculus	9986_0:003e71	FUS	RNA-binding protein FUS isoform X4
189740at40674	RNA-binding protein FUS isoform X1	40674	9994_0	Marmota marmota marmota	9994_0:002710	Fus	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	10020_0	Dipodomys ordii	10020_0:000efb	Fus	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	10029_0	Cricetulus griseus	10029_0:003c6a	A0A061I8T7_CRIGR	RNA-binding protein FUS-like protein
189740at40674	RNA-binding protein FUS isoform X1	40674	10036_0	Mesocricetus auratus	10036_0:0001f1	Fus	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	10047_0	Meriones unguiculatus	10047_0:004212	Fus	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	10089_0	Mus caroli	10089_0:001f96	Fus	RNA-binding protein FUS isoform X1
189740at40674	RNA-binding protein FUS isoform X1	40674	10090_0	Mus musculus	10090_0:0022b4	Fus;Q3USY4_MOUSE	RNA-binding protein FUS
